source,destination,type
/product/161-110/YL/,https://verticalcable.com/keystones/,301
/product/070-711/6LS/BL/,https://verticalcable.com/keystones/,301
/product/038-351IV/,https://verticalcable.com/product/surface-mount-boxes-038-jack-series/,301
/product/070-713/6LS/GY/,https://verticalcable.com/keystones/,301
/product/038-C6A/1P/WH/,https://verticalcable.com/product/surface-mount-boxes-038-jack-series/,301
/product/040-362/C5/S/,https://www.verticalcable.com/product-category/connectivity/junction-boxes/,301
/product/070-718/6LS/WH/,https://verticalcable.com/keystones/,301
/product/166-251/P/BL/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/352-V2714/BL/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/166-250/P/BK/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/352-V2713/BK/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/166-252/P/GR/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/078-2149/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/352-V2716/GY/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/166-253/P/GY/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/045-CT/50/8BK/,https://verticalcable.com/product/standard-cable-ties-045-ct-50-series/,301
/product/166-254/P/OR/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/352-V2718/OR/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/166-256/P/PR/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/352-V2719/PR/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/166-257/P/RD/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/352-V2720/RD/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/166-258/P/WH/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/045-V34/75WH/,https://verticalcable.com/product/standard-cable-ties-045-ct-50-series/,301
/product/166-259/P/YL/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/168-309/S/P/YL/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/066-546/PBX/BL/,https://verticalcable.com/products/,301
/product/066-552/PBX/WH/,https://verticalcable.com/products/,301
/product/066-554/P/BK/,https://verticalcable.com/products/,301
/product/066-555/P/BL/,https://verticalcable.com/products/,301
/product/040-368/C6/IV/,https://www.verticalcable.com/product-category/connectivity/junction-boxes/,301
/product/302-J2522/GY/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/066-556/P/GR/,https://verticalcable.com/products/,301
/product/066-557/P/GY/,https://verticalcable.com/products/,301
/product/066-558/P/RD/,https://verticalcable.com/products/,301
/product/066-559/P/WH/,https://verticalcable.com/products/,301
/product/066-660/P/YL/,https://verticalcable.com/products/,301
/product/066-661/P/OR/,https://verticalcable.com/products/,301
/product/066-662/P/PR/,https://verticalcable.com/products/,301
/product/066-663/P/PK/,https://verticalcable.com/products/,301
/product/067-669/NSP/BK/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/067-671/NSP/GY/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/067-673/NSP/RD/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/067-675/NSP/YL/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/067-676/NSP/OR/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/068-678/P/BK/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/068-679/P/BL/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/068-680/P/GR/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/068-681/P/GY/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/068-684/P/WH/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/068-685/P/YL/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/064-484/A/BK/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/064-692/A/RD/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/064-485/A/BL/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/064-486/A/WH/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/038-354IV/,https://verticalcable.com/product/surface-mount-boxes-038-jack-series/,301
/product/064-687/A/GR/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/016-053YL-50/,https://verticalcable.com/product/rj45-slip-on-boots-cat6-cat6a-016-series/,301
/product/022-DWB/S/,https://verticalcable.com/product/022-mb-series-mounting-bracket/,301
/product/045-V12/75BL/,https://verticalcable.com/product/standard-cable-ties-045-ct-50-series/,301
/product/064-688/A/GY/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/353-V2814/C6ABL/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/064-693/A/YL/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/064-700/A/S/BK/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/064-701/A/S/BL/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/064-702/A/S/GR/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/064-703/A/S/GY/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/064-707/A/S/RD/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/064-708/A/S/WH/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/064-709/A/S/YL/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/038-358IV/,https://verticalcable.com/product/surface-mount-boxes-038-jack-series/,301
/product/065-300/A/P/BK/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/065-301/A/P/BL/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/065-302/A/P/GR/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/353-V2821/C6AWH/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/065-308/A/P/WH/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/065-309/A/P/YL/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/037-BAN/W/F/,https://verticalcable.com/twisted-pair-systems/work-area/keystone-inserts/,301
/product/308-623D/6P/WH/,https://verticalcable.com/keystones/,301
/product/065-487/A/P/BL/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/065-488/A/P/WH/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/065-489/A/P/YL/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/065-601/A/PS/BL/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/065-608/A/PS/WH/,https://verticalcable.com/twisted-pair-systems/cat6a-cable/,301
/product/028-WP/1X81/3G/,https://www.verticalcable.com/product-category/connectivity/wall-plates/,301
/product/028-046/4C/WH/,https://www.verticalcable.com/product-category/connectivity/wall-plates/,301
/product/028-WP/1XF81-1/,https://www.verticalcable.com/product-category/connectivity/wall-plates/,301
/product/028-WP/2XF81/,https://www.verticalcable.com/product-category/connectivity/wall-plates/,301
/product/047-WPR-0207/,https://verticalcable.com/product-category/racks-accessories/wall-mounts/,301
/product/266-PKM03-D8000/,https://verticalcable.com/fiber-optic-systems/,301
/product/092-6052/4BL/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/156-516/P/5PR/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/094-8754/35GY/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/166-819/P/5YL/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/092-6592/35BL/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/094-8752/35BL/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/166-816/P/5PR/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/352-V2711/YL/25/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/076-1038/5BL/,https://verticalcable.com/patch-cords/,301
/product/094-826/5OR/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/352-V2707/OR/25/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/166-815/P/5PK/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/092-570/05BK/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/045-TSR2FW-33-1/,https://verticalcable.com/product/standard-cable-ties-045-ct-50-series/,301
/product/304-J2653/2P/S/,https://verticalcable.com/keystones/,301
/product/092-581/1GR/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/076-1011/1BL/,https://verticalcable.com/patch-cords/,301
/product/300-J2505/AL/,https://verticalcable.com/twisted-pair-systems/cat3-cable/,301
/product/301-J2520/BK/25/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/304-J2640/4P/AL/,https://verticalcable.com/keystones/,301
/product/352-V2701/AL/25/,https://verticalcable.com/twisted-pair-systems/cat6-cable/,301
/product/261-LCLC/1SM/,https://verticalcable.com/patch-cords/,301
/product/351-V2602/BK/25/,https://verticalcable.com/product/cat5e-v-max-keystone-jacks-351-series/,301
/product/211-162ST/5WH/,https://verticalcable.com/keystones/,301
/product/211-164ST/5WH/,https://verticalcable.com/keystones/,301
/product/045-T18R9C2/,https://verticalcable.com/product/standard-cable-ties-045-ct-50-series/,301
/product/045-TSR1FW-50/,https://verticalcable.com/product/standard-cable-ties-045-ct-50-series/,301
/product/048-121/34/,https://www.verticalcable.com/product-category/cable-management/j-hooks/,301
/product/093-689/1GR/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/071-481/1BL/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
/product/071-508/5BL/,https://verticalcable.com/twisted-pair-systems/cat5e-cable/,301
